Attendance,Date,Home,Away,Home_Avg_Attendance,Home_Last3_Avg,Matchup_Avg_Attendance,Home_Is_Big3,Away_Is_Big3,Day_Type,Round_Num
4447,2022-10-08,Santa Clara,Sporting CP,1523,1436,1523,0,1,weekend,9
56176,2022-10-08,Benfica,Rio Ave,53404,53333,53404,1,0,weekend,9
3969,2022-10-08,Portimonense,FC Porto,2218,2094,2218,0,1,weekend,9
5346,2022-10-08,Pacos de Ferreira,Vitoria de Guimaraes,3418,3671,3418,0,0,weekend,9
11295,2022-10-09,Boavista,Maritimo,7442,8083,7442,0,0,weekend,9
2912,2022-10-09,Casa Pia AC,Vizela,6332,1025,6332,0,0,weekend,9
12494,2022-10-09,Braga,Chaves,16497,16092,16497,0,0,weekend,9
1018,2022-10-10,Arouca,Famalicao,1970,2040,1970,0,0,weekday,9
49500,2022-10-21,FC Porto,Benfica,46170,46123,46170,1,1,weekend,10
2674,2022-10-22,Estoril,Braga,3093,3633,3093,0,0,weekend,10
26679,2022-10-22,Sporting CP,Casa Pia AC,30195,29673,30195,1,0,weekend,10
2380,2022-10-22,Famalicao,Pacos de Ferreira,4231,4095,4231,0,0,weekend,10
9072,2022-10-23,Maritimo,Arouca,5282,4767,5282,0,0,weekend,10
2007,2022-10-23,Vizela,Santa Clara,3068,2531,3068,0,0,weekend,10
2794,2022-10-23,Chaves,Gil Vicente,4837,3940,4837,0,0,weekend,10
11359,2022-10-23,Vitoria de Guimaraes,Boavista,15312,15198,15312,0,0,weekend,10
1693,2022-10-24,Rio Ave,Portimonense,3018,3012,3018,0,0,weekday,10
3067,2022-10-28,Pacos de Ferreira,Maritimo,3804,4630,3804,0,0,weekend,11
54990,2022-10-29,Benfica,Chaves,53958,53674,53958,1,0,weekend,11
5692,2022-10-29,Santa Clara,FC Porto,2108,2527,2108,0,1,weekend,11
2364,2022-10-29,Arouca,Sporting CP,1779,1596,1779,0,1,weekend,11
5764,2022-10-30,Boavista,Vizela,8213,8202,8213,0,0,weekend,11
1304,2022-10-30,Portimonense,Estoril,2568,2407,2568,0,0,weekend,11
1859,2022-10-30,Casa Pia AC,Rio Ave,5648,1617,5648,0,0,weekend,11
5627,2022-10-30,Gil Vicente,Braga,4589,4610,4589,0,0,weekend,11
14968,2022-10-31,Vitoria de Guimaraes,Famalicao,14521,14241,14521,0,0,weekday,11
2235,2022-11-04,Gil Vicente,Portimonense,4762,3666,4762,0,0,weekend,12
27324,2022-11-05,Sporting CP,Vitoria de Guimaraes,29492,28097,29492,1,0,weekend,12
41730,2022-11-05,FC Porto,Pacos de Ferreira,46836,46146,46836,1,0,weekend,12
2722,2022-11-05,Vizela,Arouca,2856,2259,2856,0,0,weekend,12
2546,2022-11-06,Rio Ave,Boavista,2753,2249,2753,0,0,weekend,12
13004,2022-11-06,Braga,Casa Pia AC,15697,16137,15697,0,0,weekend,12
9438,2022-11-06,Maritimo,Famalicao,6040,6196,6040,0,0,weekend,12
4858,2022-11-06,Estoril,Benfica,3009,3943,3009,0,1,weekend,12
2224,2022-11-07,Chaves,Santa Clara,4428,3042,4428,0,0,weekday,12
1210,2022-11-12,Arouca,Rio Ave,1877,1919,1877,0,0,weekend,13
11335,2022-11-12,Boavista,FC Porto,7805,8513,7805,0,1,weekend,13
5182,2022-11-13,Pacos de Ferreira,Vizela,3681,4281,3681,0,0,weekend,13
14920,2022-11-13,Vitoria de Guimaraes,Maritimo,14596,15186,14596,0,0,weekend,13
57266,2022-11-13,Benfica,Gil Vicente,54130,56018,54130,1,0,weekend,13
1035,2022-11-13,Casa Pia AC,Chaves,5016,1896,5016,0,0,weekend,13
1290,2022-11-13,Portimonense,Braga,2358,2228,2358,0,0,weekend,13
3937,2022-11-13,Famalicao,Sporting CP,3861,3677,3861,0,1,weekend,13
747,2022-11-14,Santa Clara,Estoril,2705,4087,2705,0,0,weekday,13
1492,2022-12-23,Rio Ave,Maritimo,2719,2074,2719,0,0,weekend,14
45725,2022-12-28,FC Porto,Arouca,45985,45353,45985,1,0,rare,14
1002,2022-12-28,Portimonense,Casa Pia AC,2205,2188,2205,0,0,rare,14
2839,2022-12-29,Gil Vicente,Santa Clara,4401,3459,4401,0,0,rare,14
31005,2022-12-29,Sporting CP,Pacos de Ferreira,29130,27277,29130,1,0,rare,14
2304,2022-12-30,Chaves,Famalicao,4061,2788,4061,0,0,weekend,14
3820,2022-12-30,Vizela,Vitoria de Guimaraes,2834,2388,2834,0,0,weekend,14
19398,2022-12-30,Braga,Benfica,15248,13226,15248,0,1,weekend,14
1591,2023-01-05,Santa Clara,Braga,2425,3629,2425,0,0,rare,15
50559,2023-01-06,Benfica,Portimonense,54578,56144,54578,1,0,weekend,15
3334,2023-01-06,Famalicao,Vizela,3873,3367,3873,0,0,weekend,15
764,2023-01-07,Arouca,Estoril,1781,1531,1781,0,0,weekend,15
9200,2023-01-07,Vitoria de Guimaraes,Rio Ave,14642,13749,14642,0,0,weekend,15
8107,2023-01-07,Casa Pia AC,FC Porto,4448,1935,4448,0,1,weekend,15
2466,2023-01-08,Pacos de Ferreira,Chaves,3895,4532,3895,0,0,weekend,15
9510,2023-01-08,Maritimo,Sporting CP,6606,7665,6606,0,1,weekend,15
3845,2023-01-08,Boavista,Gil Vicente,8309,9465,8309,0,0,weekend,15
762,2023-01-13,Portimonense,Santa Clara,2055,1199,2055,0,0,weekend,16
2310,2023-01-14,Rio Ave,Pacos de Ferreira,2543,1910,2543,0,0,weekend,16
12357,2023-01-14,Braga,Boavista,15841,14965,15841,0,0,weekend,16
2609,2023-01-14,Vizela,Maritimo,2975,2850,2975,0,0,weekend,16
1768,2023-01-15,Chaves,Arouca,3810,2441,3810,0,0,weekend,16
62295,2023-01-15,Benfica,Sporting CP,54076,54272,54076,1,1,weekend,16
33313,2023-01-15,FC Porto,Famalicao,45948,45652,45948,1,0,weekend,16
1290,2023-01-16,Estoril,Casa Pia AC,3317,3990,3317,0,0,weekday,16
3088,2023-01-16,Gil Vicente,Vitoria de Guimaraes,4206,3567,4206,0,0,weekday,16
839,2023-01-20,Arouca,Portimonense,1654,1446,1654,0,0,weekend,17
23358,2023-01-20,Sporting CP,Vizela,29398,28336,29398,1,0,weekend,17
5904,2023-01-21,Pacos de Ferreira,Braga,3717,3572,3717,0,0,weekend,17
